,Pattern,Result,ResultNum,Percentage
346,"[False, True, True, False, True, True, True, True, False, False, True, True, True, False]",[False],14,7.142857142857142
347,"[True, True, False, True, True, True, True]",[False],98,6.122448979591836
348,"[True, True, False, True, True, True, True, False]",[True],84,4.761904761904762
349,"[True, True, False, True, True, True, True, False, False]",[True],28,7.142857142857142
350,"[True, True, False, True, True, True, True, False, False, True]",[True],28,3.571428571428571
351,"[True, True, False, True, True, True, True, False, False, True, True]",[True],14,7.142857142857142
352,"[True, True, False, True, True, True, True, False, False, True, True, True]",[False],14,7.142857142857142
353,"[True, True, False, True, True, True, True, False, False, True, True, True, False]",[False],14,7.142857142857142
354,"[True, True, False, True, True, True, True, False, False, True, True, True, False, False]",[False],14,7.142857142857142
355,"[True, False, True, True, True, True, False, False, True]",[True],28,3.571428571428571
356,"[True, False, True, True, True, True, False, False, True, True]",[True],14,7.142857142857142
357,"[True, False, True, True, True, True, False, False, True, True, True]",[False],14,7.142857142857142
358,"[True, False, True, True, True, True, False, False, True, True, True, False]",[False],14,7.142857142857142
359,"[True, False, True, True, True, True, False, False, True, True, True, False, False]",[False],14,7.142857142857142
360,"[True, False, True, True, True, True, False, False, True, True, True, False, False, False]",[True],14,7.142857142857142
361,"[False, True, True, True, True, False, False, True, True]",[True],28,3.571428571428571
362,"[False, True, True, True, True, False, False, True, True, True]",[False],14,7.142857142857142
363,"[False, True, True, True, True, False, False, True, True, True, False]",[False],14,7.142857142857142
364,"[False, True, True, True, True, False, False, True, True, True, False, False]",[False],14,7.142857142857142
365,"[False, True, True, True, True, False, False, True, True, True, False, False, False]",[True],14,7.142857142857142
366,"[False, True, True, True, True, False, False, True, True, True, False, False, False, True]",[True],14,7.142857142857142
367,"[True, True, True, True, False, False, True, True]",[False],42,4.761904761904762
368,"[True, True, True, True, False, False, True, True, True]",[False],14,7.142857142857142
369,"[True, True, True, True, False, False, True, True, True, False]",[False],14,7.142857142857142
370,"[True, True, True, True, False, False, True, True, True, False, False]",[False],14,7.142857142857142
371,"[True, True, True, True, False, False, True, True, True, False, False, False]",[True],14,7.142857142857142
372,"[True, True, True, True, False, False, True, True, True, False, False, False, True]",[True],14,7.142857142857142
373,"[True, True, True, True, False, False, True, True, True, False, False, False, True, True]",[False],14,7.142857142857142
374,"[True, True, True, False, False, True, True]",[True],84,4.761904761904762
375,"[True, True, True, False, False, True, True, True]",[False],56,3.571428571428571
376,"[True, True, True, False, False, True, True, True, False]",[False],28,3.571428571428571
